order_number;line_number;date;customer;country;product;qty;unit_price
100550;1;26.02.2021;AW00029825;poland;BK-M82B-38;2;2024,994
100550;2;26.02.2021;AW00029825;poland;BK-M82B-44;2;2024,994
100550;3;26.02.2021;AW00029825;poland;BK-M82B-48;2;2024,994
100550;4;26.02.2021;AW00029825;poland;BK-M82S-48;2;2039,994
100550;5;26.02.2021;AW00029825;poland;FR-M94S-38;1;722,5949
100550;6;26.02.2021;AW00029825;poland;FR-M94S-52;1;818,7
100550;7;26.02.2021;AW00029825;poland;LJ-0192-M;1;28,8404
100550;8;26.02.2021;AW00029825;poland;LJ-0192-L;1;28,8404
100550;9;26.02.2021;AW00029825;poland;LJ-0192-X;2;28,8404
100550;10;26.02.2021;AW00029825;poland;SO-B909-M;5;5,7
100550;11;26.02.2021;AW00029825;poland;CA-1098;3;5,1865
100550;12;26.02.2021;AW00029825;poland;HL-U509-B;2;20,1865
100550;13;26.02.2021;AW00029825;poland;HL-U509-R;1;20,1865
100550;14;26.02.2021;AW00029825;poland;HL-U509;2;20,1865
100551;1;26.02.2021;AW00029734;poland;BK-M82B-42;2;2024,994
100551;2;26.02.2021;AW00029734;poland;LJ-0192-L;2;28,8404
100551;3;26.02.2021;AW00029734;poland;LJ-0192-M;1;28,8404
100551;4;26.02.2021;AW00029734;poland;FR-M94B-42;2;714,7043
100551;5;26.02.2021;AW00029734;poland;BK-M82S-44;2;2039,994
100551;6;26.02.2021;AW00029734;poland;CA-1098;4;5,1865
100551;7;26.02.2021;AW00029734;poland;FR-M94B-44;1;809,76
100551;8;26.02.2021;AW00029734;poland;BK-M82B-44;2;2024,994
100551;9;26.02.2021;AW00029734;poland;BK-M82S-48;2;2039,994
100551;10;26.02.2021;AW00029734;poland;HL-U509-B;6;20,1865
100551;11;26.02.2021;AW00029734;poland;HL-U509;1;20,1865
100551;12;26.02.2021;AW00029734;poland;LJ-0192-X;2;28,8404
100551;13;26.02.2021;AW00029734;poland;HL-U509-R;1;20,1865
100551;14;26.02.2021;AW00029734;poland;BK-M82S-42;5;2039,994
100551;15;26.02.2021;AW00029734;poland;FR-M94S-42;1;722,5949
100551;16;26.02.2021;AW00029734;poland;FR-M94S-38;2;722,5949
100552;1;26.02.2021;AW00029994;poland;LJ-0192-L;2;28,8404
100552;2;26.02.2021;AW00029994;poland;BK-R50B-62;3;419,4589
100552;3;26.02.2021;AW00029994;poland;BK-R50R-62;6;419,4589
100552;4;26.02.2021;AW00029994;poland;BK-R50B-44;4;419,4589
100552;5;26.02.2021;AW00029994;poland;BK-R50B-58;2;419,4589
100552;6;26.02.2021;AW00029994;poland;BK-R50B-60;2;419,4589
100552;7;26.02.2021;AW00029994;poland;BK-R68R-52;8;874,794
100552;8;26.02.2021;AW00029994;poland;BK-R93R-56;1;2146,962
100552;9;26.02.2021;AW00029994;poland;BK-R68R-58;4;874,794
100552;10;26.02.2021;AW00029994;poland;BK-R68R-60;4;874,794
100552;11;26.02.2021;AW00029994;poland;FR-R38R-44;3;183,9382
100552;12;26.02.2021;AW00029994;poland;BK-R50R-44;9;419,4589
100552;13;26.02.2021;AW00029994;poland;FR-R72R-48;3;356,898
100552;14;26.02.2021;AW00029994;poland;FR-R92R-44;3;758,0759
100552;15;26.02.2021;AW00029994;poland;FR-R38R-60;1;183,9382
100552;16;26.02.2021;AW00029994;poland;FR-R38R-62;2;183,9382
100552;17;26.02.2021;AW00029994;poland;BK-R50B-52;5;419,4589
100552;18;26.02.2021;AW00029994;poland;FR-R38B-52;2;178,5808
100552;19;26.02.2021;AW00029994;poland;BK-R50R-60;4;419,4589
100552;20;26.02.2021;AW00029994;poland;BK-R68R-44;6;874,794
100552;21;26.02.2021;AW00029994;poland;FR-R38B-58;4;178,5808
100552;22;26.02.2021;AW00029994;poland;FR-R38R-48;1;183,9382
100552;23;26.02.2021;AW00029994;poland;FR-R92R-62;4;758,0759
100552;24;26.02.2021;AW00029994;poland;FR-R72R-52;2;356,898
100552;25;26.02.2021;AW00029994;poland;FR-R38R-52;1;183,9382
100552;26;26.02.2021;AW00029994;poland;FR-R38B-44;1;178,5808
100553;1;26.02.2021;AW00029580;poland;FR-M94B-42;2;714,7043
100553;2;26.02.2021;AW00029580;poland;BK-M82B-48;2;2024,994
100553;3;26.02.2021;AW00029580;poland;LJ-0192-M;2;28,8404
100553;4;26.02.2021;AW00029580;poland;SO-B909-M;18;5,225
100553;5;26.02.2021;AW00029580;poland;FR-M94S-52;2;818,7
100553;6;26.02.2021;AW00029580;poland;HL-U509-B;2;20,1865
100553;7;26.02.2021;AW00029580;poland;HL-U509;2;20,1865
100553;8;26.02.2021;AW00029580;poland;BK-M82B-42;2;2024,994
100553;9;26.02.2021;AW00029580;poland;BK-M82S-48;4;2039,994
100553;10;26.02.2021;AW00029580;poland;BK-M82B-44;2;2024,994
100553;11;26.02.2021;AW00029580;poland;HL-U509-R;1;20,1865
100553;12;26.02.2021;AW00029580;poland;BK-M82B-38;2;2024,994
100553;13;26.02.2021;AW00029580;poland;BK-M82S-38;2;2039,994
100553;14;26.02.2021;AW00029580;poland;FR-M94S-38;1;722,5949
100553;15;26.02.2021;AW00029580;poland;LJ-0192-L;1;28,8404
100553;16;26.02.2021;AW00029580;poland;BK-M82S-42;4;2039,994
100553;17;26.02.2021;AW00029580;poland;CA-1098;2;5,1865
100553;18;26.02.2021;AW00029580;poland;LJ-0192-X;1;28,8404
100554;1;26.02.2021;AW00029898;poland;BK-M82S-38;2;2039,994
100554;2;26.02.2021;AW00029898;poland;LJ-0192-X;1;28,8404
100554;3;26.02.2021;AW00029898;poland;BK-M82S-42;2;2039,994
100554;4;26.02.2021;AW00029898;poland;BK-M82S-48;2;2039,994
100554;5;26.02.2021;AW00029898;poland;SO-B909-M;12;5,51
100554;6;26.02.2021;AW00029898;poland;BK-M82B-44;4;2024,994
100554;7;26.02.2021;AW00029898;poland;BK-M82B-38;2;2024,994
100554;8;26.02.2021;AW00029898;poland;FR-M94B-42;1;714,7043
100554;9;26.02.2021;AW00029898;poland;FR-M94S-52;1;818,7
100555;1;26.02.2021;AW00030052;poland;BK-R93R-62;1;2146,962
100555;2;26.02.2021;AW00030052;poland;BK-R50R-62;1;419,4589
100555;3;26.02.2021;AW00030052;poland;BK-R50B-60;2;419,4589
100555;4;26.02.2021;AW00030052;poland;FR-R72R-52;1;356,898
100556;1;26.02.2021;AW00029974;poland;LJ-0192-L;2;28,8404
100556;2;26.02.2021;AW00029974;poland;BK-M82S-48;4;2039,994
100556;3;26.02.2021;AW00029974;poland;BK-M82S-38;3;2039,994
100556;4;26.02.2021;AW00029974;poland;BK-M82S-44;2;2039,994
100556;5;26.02.2021;AW00029974;poland;BK-M82S-42;2;2039,994
100556;6;26.02.2021;AW00029974;poland;SO-B909-M;2;5,7
100556;7;26.02.2021;AW00029974;poland;SO-B909-L;2;5,7
100556;8;26.02.2021;AW00029974;poland;CA-1098;4;5,1865
100556;9;26.02.2021;AW00029974;poland;BK-M82B-38;2;2024,994
100556;10;26.02.2021;AW00029974;poland;BK-M82B-42;3;2024,994
100556;11;26.02.2021;AW00029974;poland;BK-M82B-48;2;2024,994
100556;12;26.02.2021;AW00029974;poland;BK-M82B-44;2;2024,994
100557;1;26.02.2021;AW00029614;poland;BK-R68R-58;9;874,794
100557;2;26.02.2021;AW00029614;poland;BK-R93R-62;2;2146,962
