order_number;line_number;date;reseller;country;product;qty;unit_price
100407;1;01.01.2021;AW00029955;poland;BK-M82B-44;4;2024,994
100407;2;01.01.2021;AW00029955;poland;BK-M82S-48;6;2039,994
100407;3;01.01.2021;AW00029955;poland;BK-M82B-38;4;2024,994
100407;4;01.01.2021;AW00029955;poland;FR-M94B-42;2;714,7043
100407;5;01.01.2021;AW00029955;poland;BK-M82B-48;4;2024,994
100407;6;01.01.2021;AW00029955;poland;BK-M82S-42;4;2039,994
100407;7;01.01.2021;AW00029955;poland;FR-M94S-38;4;722,5949
100408;1;01.01.2021;AW00029611;poland;BK-R50R-44;2;419,4589
100408;2;01.01.2021;AW00029611;poland;BK-R50B-52;2;419,4589
100408;3;01.01.2021;AW00029611;poland;BK-R68R-52;6;874,794
100409;1;01.01.2021;AW00029548;poland;BK-R50B-60;2;419,4589
100409;2;01.01.2021;AW00029548;poland;BK-R50R-60;2;419,4589
100410;1;01.01.2021;AW00029620;poland;BK-M82B-38;2;2024,994
100411;1;01.01.2021;AW00029888;poland;BK-R50B-60;4;419,4589
100411;2;01.01.2021;AW00029888;poland;CA-1098;4;5,1865
100411;3;01.01.2021;AW00029888;poland;BK-R50R-48;2;419,4589
100411;4;01.01.2021;AW00029888;poland;BK-R50B-58;2;419,4589
100411;5;01.01.2021;AW00029888;poland;BK-R93R-62;6;2146,962
100411;6;01.01.2021;AW00029888;poland;BK-R50B-62;2;419,4589
100411;7;01.01.2021;AW00029888;poland;BK-R50R-52;2;419,4589
100411;8;01.01.2021;AW00029888;poland;BK-R50R-44;4;419,4589
100411;9;01.01.2021;AW00029888;poland;BK-R50B-48;2;419,4589
100411;10;01.01.2021;AW00029888;poland;LJ-0192-L;4;28,8404
100411;11;01.01.2021;AW00029888;poland;BK-R68R-48;2;874,794
100411;12;01.01.2021;AW00029888;poland;BK-R50B-44;10;419,4589
100411;13;01.01.2021;AW00029888;poland;BK-R50R-62;8;419,4589
100411;14;01.01.2021;AW00029888;poland;BK-R68R-60;2;874,794
100411;15;01.01.2021;AW00029888;poland;BK-R93R-56;2;2146,962
100411;16;01.01.2021;AW00029888;poland;BK-R93R-48;2;2146,962
100411;17;01.01.2021;AW00029888;poland;BK-R93R-52;4;2146,962
100411;18;01.01.2021;AW00029888;poland;BK-R68R-52;10;874,794
100412;1;01.01.2021;AW00029555;poland;BK-R50R-60;2;419,4589
100412;2;01.01.2021;AW00029555;poland;BK-R50B-58;2;419,4589
100412;3;01.01.2021;AW00029555;poland;BK-R50R-62;6;419,4589
100412;4;01.01.2021;AW00029555;poland;BK-R50R-44;6;419,4589
100412;5;01.01.2021;AW00029555;poland;BK-R68R-52;6;874,794
100413;1;01.01.2021;AW00029539;poland;BK-R50B-58;6;419,4589
100413;2;01.01.2021;AW00029539;poland;BK-R50R-62;2;419,4589
100413;3;01.01.2021;AW00029539;poland;BK-R50R-60;8;419,4589
100413;4;01.01.2021;AW00029539;poland;BK-R50B-52;2;419,4589
100414;1;01.01.2021;AW00029717;poland;BK-M82B-42;6;2024,994
100414;2;01.01.2021;AW00029717;poland;BK-M82S-42;6;2039,994
100414;3;01.01.2021;AW00029717;poland;BK-M82B-38;4;2024,994
100414;4;01.01.2021;AW00029717;poland;BK-M82B-44;12;2024,994
100414;5;01.01.2021;AW00029717;poland;BK-M82S-38;4;2039,994
100414;6;01.01.2021;AW00029717;poland;BK-M82S-48;4;2039,994
100414;7;01.01.2021;AW00029717;poland;BK-M82S-44;4;2039,994
100415;1;01.01.2021;AW00029818;poland;BK-M82B-44;10;2024,994
100415;2;01.01.2021;AW00029818;poland;BK-M82B-48;14;2024,994
100415;3;01.01.2021;AW00029818;poland;BK-M82S-38;4;2039,994
100415;4;01.01.2021;AW00029818;poland;BK-M82B-42;8;2024,994
100415;5;01.01.2021;AW00029818;poland;BK-M82S-44;4;2039,994
100415;6;01.01.2021;AW00029818;poland;LJ-0192-L;2;28,8404
100415;7;01.01.2021;AW00029818;poland;BK-M82B-38;18;2024,994
100415;8;01.01.2021;AW00029818;poland;BK-M82S-42;8;2039,994
100415;9;01.01.2021;AW00029818;poland;HL-U509-B;2;20,1865
100416;1;01.01.2021;AW00030011;poland;BK-R50R-48;8;419,4589
100416;2;01.01.2021;AW00030011;poland;BK-R50R-44;10;419,4589
100416;3;01.01.2021;AW00030011;poland;BK-R68R-52;2;874,794
100416;4;01.01.2021;AW00030011;poland;BK-R50B-52;10;419,4589
100416;5;01.01.2021;AW00030011;poland;BK-R50R-60;2;419,4589
100417;1;01.01.2021;AW00029813;poland;BK-M82B-42;2;2024,994
100417;2;01.01.2021;AW00029813;poland;BK-M82B-48;2;2024,994
100417;3;01.01.2021;AW00029813;poland;BK-M82S-42;2;2039,994
100418;1;01.01.2021;AW00029509;poland;BK-R93R-52;2;2146,962
100418;2;01.01.2021;AW00029509;poland;BK-R50R-52;8;419,4589
100418;3;01.01.2021;AW00029509;poland;BK-R68R-60;6;874,794
100418;4;01.01.2021;AW00029509;poland;BK-R68R-58;2;874,794
100418;5;01.01.2021;AW00029509;poland;BK-R93R-44;2;2146,962
100418;6;01.01.2021;AW00029509;poland;BK-R68R-48;2;874,794
100418;7;01.01.2021;AW00029509;poland;BK-R50B-62;2;419,4589
100418;8;01.01.2021;AW00029509;poland;BK-R50B-48;6;419,4589
100418;9;01.01.2021;AW00029509;poland;BK-R50B-44;2;419,4589
100418;10;01.01.2021;AW00029509;poland;BK-R50R-60;2;419,4589
100418;11;01.01.2021;AW00029509;poland;BK-R93R-62;4;2146,962
100418;12;01.01.2021;AW00029509;poland;BK-R50R-62;10;419,4589
100418;13;01.01.2021;AW00029509;poland;BK-R50B-58;4;419,4589
100418;14;01.01.2021;AW00029509;poland;BK-R93R-56;2;2146,962
100418;15;01.01.2021;AW00029509;poland;CA-1098;6;5,1865
100418;16;01.01.2021;AW00029509;poland;BK-R50B-52;2;419,4589
100418;17;01.01.2021;AW00029509;poland;BK-R50B-60;2;419,4589
100418;18;01.01.2021;AW00029509;poland;BK-R93R-48;6;2146,962
100419;1;01.01.2021;AW00029892;poland;BK-R93R-44;4;2146,962
100419;2;01.01.2021;AW00029892;poland;BK-R68R-52;2;874,794
